Actual SRT

Timestamp,Signal Value
Mon Mar 07 2022 11:30:22 GMT+0000 (Greenwich Mean Time),6.05152
Mon Mar 07 2022 11:45:17 GMT+0000 (Greenwich Mean Time),6.04973
Mon Mar 07 2022 12:00:17 GMT+0000 (Greenwich Mean Time),6.04992
Mon Mar 07 2022 12:15:17 GMT+0000 (Greenwich Mean Time),6.04506
Mon Mar 07 2022 12:30:18 GMT+0000 (Greenwich Mean Time),6.04319
Mon Mar 07 2022 12:45:18 GMT+0000 (Greenwich Mean Time),6.04132
Mon Mar 07 2022 13:00:19 GMT+0000 (Greenwich Mean Time),6.04125
Mon Mar 07 2022 13:15:18 GMT+0000 (Greenwich Mean Time),6.03917
Mon Mar 07 2022 13:30:20 GMT+0000 (Greenwich Mean Time),6.0373
Mon Mar 07 2022 13:45:19 GMT+0000 (Greenwich Mean Time),6.03538
Mon Mar 07 2022 14:00:19 GMT+0000 (Greenwich Mean Time),6.03549
Mon Mar 07 2022 14:15:19 GMT+0000 (Greenwich Mean Time),6.0303
Mon Mar 07 2022 14:30:20 GMT+0000 (Greenwich Mean Time),6.02836
Mon Mar 07 2022 14:45:21 GMT+0000 (Greenwich Mean Time),6.02639
Mon Mar 07 2022 15:00:20 GMT+0000 (Greenwich Mean Time),6.02664
Mon Mar 07 2022 15:15:21 GMT+0000 (Greenwich Mean Time),6.02181
Mon Mar 07 2022 15:30:21 GMT+0000 (Greenwich Mean Time),6.0198
Mon Mar 07 2022 15:45:21 GMT+0000 (Greenwich Mean Time),6.01786
Mon Mar 07 2022 16:00:22 GMT+0000 (Greenwich Mean Time),6.01774
Mon Mar 07 2022 16:15:21 GMT+0000 (Greenwich Mean Time),6.01332
Mon Mar 07 2022 16:30:21 GMT+0000 (Greenwich Mean Time),6.01143
Mon Mar 07 2022 16:45:22 GMT+0000 (Greenwich Mean Time),6.00952
Mon Mar 07 2022 17:00:22 GMT+0000 (Greenwich Mean Time),6.00971
Mon Mar 07 2022 17:15:22 GMT+0000 (Greenwich Mean Time),6.00506
Mon Mar 07 2022 17:30:23 GMT+0000 (Greenwich Mean Time),6.00314
Mon Mar 07 2022 17:45:23 GMT+0000 (Greenwich Mean Time),6.00118
Mon Mar 07 2022 18:00:24 GMT+0000 (Greenwich Mean Time),6.00111
Mon Mar 07 2022 18:15:24 GMT+0000 (Greenwich Mean Time),5.99664
Mon Mar 07 2022 18:30:24 GMT+0000 (Greenwich Mean Time),5.99475
Mon Mar 07 2022 18:45:24 GMT+0000 (Greenwich Mean Time),5.99281
Mon Mar 07 2022 19:00:24 GMT+0000 (Greenwich Mean Time),5.99329
Mon Mar 07 2022 19:15:24 GMT+0000 (Greenwich Mean Time),5.98922
Mon Mar 07 2022 19:30:25 GMT+0000 (Greenwich Mean Time),5.98724
Mon Mar 07 2022 19:45:25 GMT+0000 (Greenwich Mean Time),5.98528
Mon Mar 07 2022 20:00:25 GMT+0000 (Greenwich Mean Time),5.98601
Mon Mar 07 2022 20:15:26 GMT+0000 (Greenwich Mean Time),5.98142
Mon Mar 07 2022 20:30:26 GMT+0000 (Greenwich Mean Time),5.97946
Mon Mar 07 2022 20:45:27 GMT+0000 (Greenwich Mean Time),5.97748
Mon Mar 07 2022 21:00:26 GMT+0000 (Greenwich Mean Time),5.978
Mon Mar 07 2022 21:15:27 GMT+0000 (Greenwich Mean Time),5.9731
Mon Mar 07 2022 21:30:27 GMT+0000 (Greenwich Mean Time),5.97105
Mon Mar 07 2022 21:45:27 GMT+0000 (Greenwich Mean Time),5.96905
Mon Mar 07 2022 22:00:28 GMT+0000 (Greenwich Mean Time),5.96956
Mon Mar 07 2022 22:15:28 GMT+0000 (Greenwich Mean Time),5.96461
Mon Mar 07 2022 22:30:28 GMT+0000 (Greenwich Mean Time),5.96251
Mon Mar 07 2022 22:45:29 GMT+0000 (Greenwich Mean Time),5.96042
Mon Mar 07 2022 23:00:29 GMT+0000 (Greenwich Mean Time),5.9604
