Time,Temperature
"Monday, 21 September 2015",70.0
"Tuesday, 22 September 2015",70.0
"Wednesday, 23 September 2015",70.0
"Thursday, 24 September 2015",70.0
"Friday, 25 September 2015",70.0
"Saturday, 26 September 2015",70.0
"Sunday, 27 September 2015",70.0
"Monday, 28 September 2015",70.0
"Tuesday, 29 September 2015",71.0
"Wednesday, 30 September 2015",70.0
"Thursday, 1 October 2015",70.0
"Friday, 2 October 2015",70.0
"Saturday, 3 October 2015",69.0
"Sunday, 4 October 2015",70.0
"Monday, 5 October 2015",70.0
"Tuesday, 6 October 2015",70.0
"Wednesday, 7 October 2015",70.0
"Thursday, 8 October 2015",70.0
"Friday, 9 October 2015",70.0
"Saturday, 10 October 2015",70.0
"Sunday, 11 October 2015",69.0
"Monday, 12 October 2015",70.0
"Tuesday, 13 October 2015",70.0
"Wednesday, 14 October 2015",70.0
"Thursday, 15 October 2015",70.0
"Friday, 16 October 2015",69.0
"Saturday, 17 October 2015",69.0
"Sunday, 18 October 2015",69.0
"Monday, 19 October 2015",69.0
"Tuesday, 20 October 2015",70.0
"Wednesday, 21 October 2015",70.0
"Thursday, 22 October 2015",69.0
"Friday, 23 October 2015",69.0
"Saturday, 24 October 2015",67.0
"Sunday, 25 October 2015",69.0
"Monday, 26 October 2015",69.0
"Tuesday, 27 October 2015",69.0
"Wednesday, 28 October 2015",66.0
"Thursday, 29 October 2015",68.0
"Friday, 30 October 2015",68.0
"Saturday, 31 October 2015",65.0
"Sunday, 1 November 2015",69.0
"Monday, 2 November 2015",67.0
"Tuesday, 3 November 2015",68.0
"Wednesday, 4 November 2015",70.0
"Thursday, 5 November 2015",69.0
"Friday, 6 November 2015",68.0
"Saturday, 7 November 2015",68.0
"Sunday, 8 November 2015",67.0
"Monday, 9 November 2015",68.0
"Tuesday, 10 November 2015",68.0
"Wednesday, 11 November 2015",70.0
"Thursday, 12 November 2015",66.0
"Friday, 13 November 2015",68.0
"Saturday, 14 November 2015",67.0
"Sunday, 15 November 2015",67.0
"Monday, 16 November 2015",68.0
"Tuesday, 17 November 2015",66.0
"Wednesday, 18 November 2015",66.0
"Thursday, 19 November 2015",67.0
"Friday, 20 November 2015",67.0
"Saturday, 21 November 2015",65.0
"Sunday, 22 November 2015",65.0
"Monday, 23 November 2015",66.0
"Tuesday, 24 November 2015",65.0
"Wednesday, 25 November 2015",65.0
"Thursday, 26 November 2015",63.0
"Friday, 27 November 2015",61.0
"Saturday, 28 November 2015",66.0
"Sunday, 29 November 2015",63.0
"Monday, 30 November 2015",63.0
"Tuesday, 1 December 2015",61.0
"Wednesday, 2 December 2015",64.0
"Thursday, 3 December 2015",65.0
"Friday, 4 December 2015",63.0
"Saturday, 5 December 2015",64.0
"Sunday, 6 December 2015",65.0
"Monday, 7 December 2015",63.0
"Tuesday, 8 December 2015",64.0
"Wednesday, 9 December 2015",63.0
"Thursday, 10 December 2015",63.0
"Friday, 11 December 2015",63.0
"Saturday, 12 December 2015",63.0
"Sunday, 13 December 2015",63.0
"Monday, 14 December 2015",62.0
"Tuesday, 15 December 2015",60.0
"Wednesday, 16 December 2015",63.0
"Thursday, 17 December 2015",64.0
"Friday, 18 December 2015",62.0
"Saturday, 19 December 2015",63.0
"Sunday, 20 December 2015",66.0
"Monday, 21 December 2015",63.0
"Tuesday, 22 December 2015",63.0
"Wednesday, 23 December 2015",61.0
"Thursday, 24 December 2015",64.0
"Friday, 25 December 2015",64.0
"Saturday, 26 December 2015",62.0
"Sunday, 27 December 2015",62.0
"Monday, 28 December 2015",61.0
"Tuesday, 29 December 2015",56.0
"Wednesday, 30 December 2015",57.0
"Thursday, 31 December 2015",59.0
"Friday, 1 January 2016",62.0
"Saturday, 2 January 2016",63.0
"Sunday, 3 January 2016",62.0
"Monday, 4 January 2016",61.0
"Tuesday, 5 January 2016",60.0
"Wednesday, 6 January 2016",60.0
"Thursday, 7 January 2016",60.0
"Friday, 8 January 2016",59.0
"Saturday, 9 January 2016",57.0
"Sunday, 10 January 2016",57.0
"Monday, 11 January 2016",58.0
"Tuesday, 12 January 2016",58.0
"Wednesday, 13 January 2016",59.0
"Thursday, 14 January 2016",59.0
"Friday, 15 January 2016",59.0
"Saturday, 16 January 2016",59.0
"Sunday, 17 January 2016",58.0
"Monday, 18 January 2016",58.0
"Tuesday, 19 January 2016",58.0
"Wednesday, 20 January 2016",58.0
"Thursday, 21 January 2016",59.0
"Friday, 22 January 2016",59.0
"Saturday, 23 January 2016",59.0
"Sunday, 24 January 2016",58.0
"Monday, 25 January 2016",59.0
"Tuesday, 26 January 2016",58.0
"Wednesday, 27 January 2016",59.0
"Thursday, 28 January 2016",59.0
"Friday, 29 January 2016",59.0
"Saturday, 30 January 2016",58.0
"Sunday, 31 January 2016",57.0
"Monday, 1 February 2016",57.0
"Tuesday, 2 February 2016",53.0
"Wednesday, 3 February 2016",50.0
"Thursday, 4 February 2016",55.0
"Friday, 5 February 2016",57.0
